date,symbol,dir,moneyness,ticker,contract_source,quote_source,sig_spot,sig_strike,sig_dte,sig_ts,n_in_day,entry,exit,ret,reason,entry_ts,exit_ts,source
2026-06-02,AAPL,UP,ATM,AAPL260603C00307500,open_lock,day_iv,312.5,307.5,1,2026-06-02 12:47:00-04:00,2,5.41228,7.355600000000001,0.35905755060713807,T+30,2026-06-02 12:47:00-04:00,2026-06-02 13:19:00-04:00,stream
2026-06-02,AAPL,UP,ATM,AAPL260603C00307500,open_lock,day_iv,314.68,307.5,1,2026-06-02 13:37:00-04:00,3,7.42428,7.34566,-0.01058957905682445,T+30,2026-06-02 13:38:00-04:00,2026-06-02 14:08:00-04:00,stream
2026-06-03,AMD,UP,ATM,AMD260605C00532500,open_lock,day_iv,536.11,532.5,2,2026-06-03 10:30:00-04:00,1,17.3535,14.0651,-0.1894949145705478,T+30,2026-06-03 10:30:00-04:00,2026-06-03 11:00:00-04:00,stream
2026-06-09,TSLA,DN,ATM,TSLA260610P00410000,open_lock,day_iv,400.535,410.0,1,2026-06-09 11:12:00-04:00,1,11.569,15.685319999999999,0.35580603336502703,T+30,2026-06-09 11:12:00-04:00,2026-06-09 11:42:00-04:00,stream
2026-06-09,TSLA,DN,ATM,TSLA260610P00410000,open_lock,day_iv,391.58,410.0,1,2026-06-09 12:05:00-04:00,2,19.22466,20.4267,0.06252594324164895,T+30,2026-06-09 12:05:00-04:00,2026-06-09 12:36:00-04:00,stream
2026-06-09,TSLA,DN,ATM,TSLA260610P00410000,open_lock,day_iv,386.55,410.0,1,2026-06-09 12:43:00-04:00,3,24.4458,19.72096,-0.1932781909366843,T+30,2026-06-09 12:44:00-04:00,2026-06-09 13:15:00-04:00,stream
2026-06-10,NVDA,DN,ATM,NVDA260610P00205000,open_lock,day_iv,203.955,205.0,0,2026-06-10 10:58:00-04:00,1,2.6960800000000003,2.66392,-0.011928429423459286,T+30,2026-06-10 14:18:00-04:00,2026-06-10 14:18:00-04:00,stream
2026-06-15,NVDA,UP,ATM,NVDA260615C00210000,open_lock,day_iv,209.985,210.0,0,2026-06-15 10:33:00-04:00,1,1.9617,1.9383,-0.011928429423459286,T+30,2026-06-15 14:29:00-04:00,2026-06-15 14:29:00-04:00,stream
2026-06-16,AMD,DN,ATM,AMD260618P00547500,open_lock,day_iv,526.81,547.5,2,2026-06-16 10:30:00-04:00,1,28.178060000000002,26.95728,-0.043323777435352206,T+30,2026-06-16 10:31:00-04:00,2026-06-16 11:05:00-04:00,stream
2026-06-16,TSLA,DN,ATM,TSLA260617P00405000,open_lock,day_iv,402.075,405.0,1,2026-06-16 10:31:00-04:00,1,6.7905,3.50882,-0.4832751638318239,T+30,2026-06-16 10:31:00-04:00,2026-06-16 11:01:00-04:00,stream
2026-06-22,AMZN,DN,ATM,AMZN260622P00240000,open_lock,1s,235.19,240.0,0,2026-06-22 10:31:00-04:00,1,4.66,5.32,0.14163090128755362,T+30,2026-06-22 10:31:00-04:00,2026-06-22 11:01:02-04:00,stream
2026-06-22,AMZN,DN,ATM,AMZN260622P00240000,open_lock,1s,233.545,240.0,0,2026-06-22 12:00:00-04:00,2,6.68,6.49,-0.02844311377245501,T+30,2026-06-22 12:00:00-04:00,2026-06-22 12:30:21-04:00,stream
2026-06-23,TSLA,DN,ATM,TSLA260624P00392500,open_lock,day_iv,385.9991,392.5,1,2026-06-23 10:53:00-04:00,1,8.7019,9.94,0.14227927234282167,T+30,2026-06-23 10:53:00-04:00,2026-06-23 11:23:00-04:00,stream
2026-06-23,TSLA,DN,ATM,TSLA260624P00392500,open_lock,day_iv,384.04,392.5,1,2026-06-23 11:35:00-04:00,2,10.0097,9.144799999999998,-0.08640618599958061,T+30,2026-06-23 11:35:00-04:00,2026-06-23 12:05:00-04:00,stream
2026-06-24,AMZN,UP,ATM,AMZN260624C00235000,open_lock,1s,239.98,235.0,0,2026-06-24 10:50:00-04:00,1,5.15,6.85,0.33009708737864063,T+30,2026-06-24 10:50:00-04:00,2026-06-24 11:20:00-04:00,stream
2026-06-24,AMD,DN,ATM,AMD260626P00520000,open_lock,day_iv,509.42,520.0,2,2026-06-24 13:23:00-04:00,1,19.8685,19.5818,-0.014429876437577094,T+30,2026-06-24 13:24:00-04:00,2026-06-24 13:53:00-04:00,stream
